Node: 0, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
Node: 12, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.6.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.3.0        0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.2.0        10.0.6.2        255.255.255.0   UGS   71     -      -   1
20.0.7.0        10.0.6.2        255.255.255.0   UGS   71     -      -   1
20.0.5.0        10.0.6.2        255.255.255.0   UGS   125    -      -   1
20.0.6.0        10.0.6.2        255.255.255.0   UGS   61     -      -   1
10.0.8.0        10.0.6.2        255.255.255.0   UGS   80     -      -   1
20.0.9.0        20.0.3.1        255.255.255.0   UGS   127    -      -   2
10.0.4.0        10.0.6.2        255.255.255.0   UGS   155    -      -   1
10.0.16.0       10.0.6.2        255.255.255.0   UGS   169    -      -   1
20.0.13.0       10.0.6.2        255.255.255.0   UGS   259    -      -   1
20.0.14.0       10.0.6.2        255.255.255.0   UGS   230    -      -   1
20.0.15.0       10.0.6.2        255.255.255.0   UGS   145    -      -   1
20.0.16.0       10.0.6.2        255.255.255.0   UGS   228    -      -   1
20.0.17.0       10.0.6.2        255.255.255.0   UGS   159    -      -   1
10.0.10.0       20.0.3.1        255.255.255.0   UGS   138    -      -   2
20.0.10.0       20.0.3.1        255.255.255.0   UGS   174    -      -   2
10.0.11.0       20.0.3.1        255.255.255.0   UGS   182    -      -   2
10.0.15.0       10.0.6.2        255.255.255.0   UGS   241    -      -   1
20.0.12.0       10.0.6.2        255.255.255.0   UGS   265    -      -   1
20.0.26.0       10.0.6.2        255.255.255.0   UGS   266    -      -   1
10.0.14.0       20.0.3.1        255.255.255.0   UGS   212    -      -   2
20.0.22.0       20.0.3.1        255.255.255.0   UGS   201    -      -   2
20.0.1.0        10.0.6.2        255.255.255.0   UGS   220    -      -   1

Node: 13, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.6.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.8.0        0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.2.0        20.0.8.2        255.255.255.0   UGS   60     -      -   2
20.0.7.0        20.0.8.2        255.255.255.0   UGS   60     -      -   2
20.0.5.0        20.0.8.2        255.255.255.0   UGS   114    -      -   2
20.0.6.0        20.0.8.2        255.255.255.0   UGS   50     -      -   2
10.0.8.0        20.0.8.2        255.255.255.0   UGS   69     -      -   2
